"ActivityLabel" "SubjectID" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"LAYING" 1 0.20896421 -0.022742569 -0.16644945 -0.95384561 -0.93132033 -0.72608707 -0.30336177 0.91828313 -0.33406763 -0.89331474 -0.95365793 -0.734641 0.10743578 0.04915265 0.15072266 -0.99243161 -0.99221644 -0.98720213 -0.072931964 -0.081659445 0.11781819 -0.97380182 -0.99682582 -0.97242819 -0.12117714 -0.040054031 -0.024570479 -0.98662501 -0.99904817 -0.98342685 -0.8716271 -0.80367303 -0.8716271 -0.80367303 -0.99032317 -0.99078066 -0.94897412 -0.9665803 -0.99312553 -0.991068 -0.96460237 -0.95018078 -0.82504955 -0.94983211 -0.92601694 -0.70021963 -0.99280525 -0.99180572 -0.98709146 -0.99263304 -0.9933517 -0.98563267 -0.9646197 -0.99748597 -0.96229156 -0.97669695 -0.99634094 -0.97923662 -0.85175682 -0.81023632 -0.98937615 -0.9916852 -0.97517385 -0.96655145 -0.99064043 -0.99196341
"LAYING" 2 0.27456229 -0.015755629 -0.11037294 -0.99330427 -0.98959502 -0.99316069 -0.32938962 0.78696115 0.59374766 -0.99791625 -0.99598656 -0.99367657 0.087652198 0.019044322 -0.01420024 -0.9883973 -0.98478763 -0.99226198 -0.027438031 -0.086591231 0.084819944 -0.99721829 -0.95991132 -0.9839867 -0.099775132 -0.058472621 -0.061388861 -0.99600356 -0.97840168 -0.98753444 -0.99601432 -0.99056493 -0.99601432 -0.99056493 -0.99127894 -0.98758989 -0.98968321 -0.94381485 -0.99187523 -0.97185473 -0.98881785 -0.98463458 -0.99294989 -0.99614899 -0.99251894 -0.99294708 -0.98766297 -0.98223289 -0.99071527 -0.99040332 -0.9898596 -0.99234972 -0.99575409 -0.95315064 -0.97952774 -0.99771038 -0.96495824 -0.98719979 -0.98760766 -0.99341214 -0.98771479 -0.98588511 -0.94130801 -0.95563844 -0.97189652 -0.9733666
"LAYING" 3 0.27710055 -0.017914596 -0.10617854 -0.98569646 -0.98046288 -0.97999788 -0.18552562 0.85277273 0.45432498 -0.99659697 -0.99504009 -0.9852268 0.082655872 0.002853285 0.00099289341 -0.98623178 -0.98568668 -0.99515969 -0.028174404 -0.083375865 0.087132318 -0.97490327 -0.97639709 -0.98680179 -0.080317639 -0.062052228 -0.060140127 -0.98581372 -0.98961689 -0.99046765 -0.98701981 -0.97982283 -0.98701981 -0.97982283 -0.99207197 -0.98713239 -0.97920856 -0.96344603 -0.99156278 -0.98648065 -0.98398466 -0.97909502 -0.98709578 -0.9863446 -0.98136909 -0.97658937 -0.98434619 -0.98474672 -0.99416355 -0.99009708 -0.98804813 -0.99465642 -0.96723538 -0.97486728 -0.98537245 -0.97728234 -0.97747987 -0.98842122 -0.98280987 -0.98002721 -0.98577727 -0.98789204 -0.96322298 -0.9698619 -0.98690732 -0.98640902
"LAYING" 4 0.27721839 -0.016698134 -0.10710786 -0.99529507 -0.9884031 -0.99095683 -0.43232011 0.96132658 0.2133663 -0.99880613 -0.9980348 -0.99629594 0.074034468 0.017420235 0.0041241528 -0.99294581 -0.98718257 -0.98973946 -0.028374709 -0.057617142 0.088203115 -0.99572661 -0.96843494 -0.99660271 -0.09760687 -0.039253642 -0.053806382 -0.99649858 -0.99402615 -0.99749959 -0.99474216 -0.99520384 -0.99474216 -0.99520384 -0.99114192 -0.99231706 -0.97793981 -0.98170784 -0.99602087 -0.99600617 -0.99399727 -0.98661879 -0.98983901 -0.99590686 -0.98907654 -0.99158277 -0.99328859 -0.9875228 -0.98847695 -0.99313727 -0.98763557 -0.98944436 -0.99594226 -0.98360945 -0.99648626 -0.99559396 -0.96176205 -0.99686988 -0.99370805 -0.99632563 -0.99094154 -0.99334481 -0.98763157 -0.98084819 -0.99596417 -0.99596312
"LAYING" 5 0.27605631 -0.017280921 -0.11217463 -0.98019209 -0.97508896 -0.97119004 -0.47152407 0.95161795 0.27880559 -0.98946491 -0.99829496 -0.98320366 0.083530863 0.01113389 -0.00042295929 -0.97702236 -0.96416483 -0.99124719 -0.03106005 -0.082182957 0.093785661 -0.98445547 -0.97902816 -0.98194593 -0.10392215 -0.043716425 -0.051918288 -0.98164703 -0.98376278 -0.99017508 -0.97882672 -0.97838935 -0.97882672 -0.97838935 -0.97913164 -0.97843333 -0.98119738 -0.97618653 -0.98535103 -0.98507584 -0.97642264 -0.96933818 -0.98375227 -0.98183922 -0.97918776 -0.9658994 -0.97569539 -0.96577549 -0.99107402 -0.98082258 -0.96469157 -0.98976407 -0.97962025 -0.9795076 -0.98143232 -0.98593987 -0.97877897 -0.98362224 -0.9805523 -0.9792978 -0.97896752 -0.97617062 -0.97751913 -0.97912885 -0.98560237 -0.98490071
"LAYING" 6 0.26119037 -0.017157502 -0.10713685 -0.98233129 -0.9357384 -0.94236753 -0.47944305 0.98436611 0.075370863 -0.98642544 -0.9967909 -0.97649389 0.074296846 -0.023893207 0.020260438 -0.98004752 -0.93168747 -0.96360807 -0.030012405 -0.097687721 0.073525318 -0.96860422 -0.93049905 -0.94509214 -0.088794569 -0.093296945 -0.085931577 -0.95138794 -0.96391183 -0.96721446 -0.96534183 -0.94504564 -0.96534183 -0.94504564 -0.96643883 -0.94344069 -0.95413104 -0.90975133 -0.96840918 -0.95289374 -0.98019202 -0.92249889 -0.94832651 -0.9831612 -0.9471049 -0.94252982 -0.97934871 -0.92181218 -0.95493802 -0.98273588 -0.95204771 -0.97188145 -0.95422309 -0.93079189 -0.93926507 -0.97335882 -0.93070194 -0.95205356 -0.94095166 -0.95504347 -0.94324426 -0.94244545 -0.92677587 -0.91380312 -0.95713191 -0.95048134
"LAYING" 7 0.31094278 -0.010813237 -0.11412262 -0.94069641 -0.95598234 -0.96632165 -0.56368039 0.63912799 0.77502908 -0.97314362 -0.99287046 -0.99412481 0.085780202 0.028572741 -0.037635285 -0.97472743 -0.97946997 -0.97497744 -0.022885971 -0.082336412 0.082799678 -0.97595104 -0.92600407 -0.958286 -0.10673885 -0.037434562 -0.050311434 -0.98079564 -0.96795431 -0.97965281 -0.94866508 -0.93687397 -0.94866508 -0.93687397 -0.97879209 -0.96920011 -0.95611953 -0.91341447 -0.980185 -0.96179655 -0.95951282 -0.95976489 -0.96750018 -0.93425417 -0.95571355 -0.9673637 -0.97363691 -0.97898758 -0.97143667 -0.97840624 -0.98159641 -0.97706522 -0.9690298 -0.94053226 -0.96228027 -0.97808573 -0.9186232 -0.96061926 -0.95689438 -0.93584723 -0.96965555 -0.96706328 -0.93575012 -0.91404142 -0.9644946 -0.96060534
"LAYING" 8 0.2925287 -0.015111744 -0.10989895 -0.92565049 -0.94006478 -0.99210996 -0.57959785 0.34608076 0.95394909 -0.94030041 -0.97821019 -0.9942369 0.065662819 0.0084089295 0.0027708395 -0.99117814 -0.99317321 -0.99387343 -0.028959868 -0.07164548 0.086917699 -0.97259193 -0.92969755 -0.99450685 -0.099780184 -0.044279321 -0.05359007 -0.99251279 -0.989272 -0.99586063 -0.93894978 -0.93418703 -0.93894978 -0.93418703 -0.99369975 -0.99529874 -0.95047334 -0.94209579 -0.99247128 -0.99050765 -0.97112349 -0.97980315 -0.99224685 -0.91322016 -0.92869951 -0.99173289 -0.99039226 -0.99347683 -0.99240428 -0.99301662 -0.9932385 -0.99391557 -0.98137237 -0.96740234 -0.99367237 -0.97098861 -0.91432825 -0.99525943 -0.9728085 -0.92767542 -0.99431213 -0.99541856 -0.96711942 -0.93786821 -0.99023439 -0.99110631
"LAYING" 9 0.31324192 -0.046158875 -0.122318 -0.94836814 -0.86926249 -0.92664754 -0.44733114 -0.37314153 0.95220483 -0.95296974 -0.94783049 -0.97210789 0.077658366 -0.084988799 -0.067199932 -0.94149621 -0.93643855 -0.93963962 -0.066323593 -0.083469735 0.091659751 -0.89229315 -0.9165687 -0.93483341 -0.13376784 -0.066167259 -0.081490983 -0.90714998 -0.93770305 -0.95859253 -0.91495845 -0.90565725 -0.91495845 -0.90565725 -0.9430857 -0.9234923 -0.90589564 -0.84544701 -0.9426975 -0.91974382 -0.94077593 -0.86195012 -0.91714029 -0.95160576 -0.88066505 -0.93841249 -0.94255485 -0.93169104 -0.93207782 -0.94557694 -0.94783594 -0.94576907 -0.86824626 -0.91494841 -0.93051674 -0.89989008 -0.91808937 -0.94213383 -0.91137686 -0.9159873 -0.92563925 -0.91954387 -0.87082121 -0.85488322 -0.92982424 -0.91292243
"LAYING" 10 0.28437154 -0.018003389 -0.1106046 -0.98293602 -0.97842424 -0.98944781 -0.40831532 -0.99967016 0.29088626 -0.98313841 -0.9952382 -0.9896893 0.072435608 0.010642982 0.0004621642 -0.98446663 -0.97874569 -0.99251184 -0.026267382 -0.071731957 0.088840024 -0.9865515 -0.96544646 -0.98350998 -0.10198963 -0.042387806 -0.047380565 -0.98467101 -0.96444603 -0.9923917 -0.98563539 -0.98551078 -0.98563539 -0.98551078 -0.98621357 -0.98962678 -0.97474107 -0.97229514 -0.97174058 -0.97315525 -0.98337896 -0.97638345 -0.99153628 -0.98257592 -0.97986572 -0.98801523 -0.98584112 -0.97923551 -0.99158684 -0.98425703 -0.97961925 -0.9918718 -0.98140819 -0.96766148 -0.98433779 -0.98817781 -0.96426326 -0.98455814 -0.9853324 -0.98683593 -0.98835187 -0.99031888 -0.96963531 -0.97940082 -0.97438466 -0.97298194
